Province,month,channel,total_seconds_viewed
Eastern Cape,2016-03,ICC Cricket World Cup 2011,71646
Eastern Cape,2016-03,Supersport Live Events,61020
Eastern Cape,2016-03,Channel O,25272
Eastern Cape,2016-03,Trace TV,14997
Eastern Cape,2016-03,SuperSport Blitz,7364
Eastern Cape,2016-03,Cartoon Network,6830
Eastern Cape,2016-03,E! Entertainment,5582
Eastern Cape,2016-03,Boomerang,5505
Eastern Cape,2016-03,CNN,2321
Eastern Cape,2016-03,Africa Magic,1857
Eastern Cape,2016-03,SawSee,926
Eastern Cape,2016-03,MK,71
Eastern Cape,2016-03,M-Net,65
Eastern Cape,2016-03,DStv Events 1,45
Eastern Cape,2016-03,Vuzu,31
Eastern Cape,2016-03,Break in transmission,10
Eastern Cape,2016-03,SuperSport Live Events,10
Free State,2016-03,ICC Cricket World Cup 2011,63956
Free State,2016-03,Channel O,20889
Free State,2016-03,Trace TV,19248
Free State,2016-03,Supersport Live Events,10274
Free State,2016-03,Boomerang,5838
Free State,2016-03,SuperSport Blitz,3124
Free State,2016-03,Africa Magic,1882
Free State,2016-03,Cartoon Network,1264
Free State,2016-03,CNN,549
Free State,2016-03,M-Net,360
Free State,2016-03,DStv Events 1,90
Free State,2016-03,MK,83
Free State,2016-03,E! Entertainment,66
Free State,2016-03,kykNET,66
Free State,2016-03,SawSee,22
Free State,2016-03,Vuzu,16
Gauteng,2016-03,ICC Cricket World Cup 2011,536268
Gauteng,2016-03,Supersport Live Events,230594
Gauteng,2016-03,Trace TV,114696
Gauteng,2016-03,Channel O,107469
Gauteng,2016-03,SuperSport Blitz,56275
Gauteng,2016-03,CNN,45402
Gauteng,2016-03,Boomerang,45077
Gauteng,2016-03,Cartoon Network,35067
Gauteng,2016-03,E! Entertainment,22854
Gauteng,2016-03,Africa Magic,18395
Gauteng,2016-03,SawSee,7439
Gauteng,2016-03,DStv Events 1,2210
Gauteng,2016-03,M-Net,1746
Gauteng,2016-03,Vuzu,1414
Gauteng,2016-03,kykNET,861
Gauteng,2016-03,SuperSport Live Events,104
Gauteng,2016-03,Break in transmission,86
Gauteng,2016-03,MK,83
Kwazulu Natal,2016-03,ICC Cricket World Cup 2011,101596
Kwazulu Natal,2016-03,Supersport Live Events,51796
Kwazulu Natal,2016-03,Channel O,43056
Kwazulu Natal,2016-03,Trace TV,32913
Kwazulu Natal,2016-03,SuperSport Blitz,24699
