user_id,channel,record_datetime_utc,record_datetime_sast,month_sast,duration_hhmmss,gender,age,province,race,age_group,time_of_day,seconds_viewed,hours_viewed
903994,Trace TV,2016-01-04T18:09:00.000Z,2016-01-04T20:09:00.000Z,2016-01,1899-12-31T00:02:00.000Z,male,33,Western Cape,coloured,youth,Evening,120,0.03
802352,ICC Cricket World Cup 2011,2016-03-30T09:04:00.000Z,2016-03-30T11:04:00.000Z,2016-03,1899-12-31T00:10:06.000Z,None,0,None,None,children,Morning,606,0.17
866125,ICC Cricket World Cup 2011,2016-03-30T17:01:00.000Z,2016-03-30T19:01:00.000Z,2016-03,1899-12-31T00:00:42.000Z,male,30,Gauteng,indian_asian,youth,Evening,42,0.01
2425604,ICC Cricket World Cup 2011,2016-03-25T15:23:00.000Z,2016-03-25T17:23:00.000Z,2016-03,1899-12-31T00:00:10.000Z,female,51,Gauteng,white,adults,Evening,10,0.00
793571,SawSee,2016-02-02T17:18:00.000Z,2016-02-02T19:18:00.000Z,2016-02,1899-12-31T00:01:33.000Z,female,9,Eastern Cape,white,children,Evening,93,0.03
793571,Boomerang,2016-03-18T16:56:00.000Z,2016-03-18T18:56:00.000Z,2016-03,1899-12-31T00:00:10.000Z,female,9,Eastern Cape,white,children,Evening,10,0.00
793571,Channel O,2016-03-20T04:25:00.000Z,2016-03-20T06:25:00.000Z,2016-03,1899-12-31T00:17:15.000Z,female,9,Eastern Cape,white,children,Morning,1035,0.29
793571,Boomerang,2016-02-03T06:43:00.000Z,2016-02-03T08:43:00.000Z,2016-02,1899-12-31T00:01:13.000Z,female,9,Eastern Cape,white,children,Morning,73,0.02
819248,Channel O,2016-03-31T10:01:00.000Z,2016-03-31T12:01:00.000Z,2016-03,1899-12-31T00:04:45.000Z,None,0,None,None,children,Afternoon,285,0.08
820321,Cartoon Network,2016-01-09T08:25:00.000Z,2016-01-09T10:25:00.000Z,2016-01,1899-12-31T00:00:40.000Z,male,26,Kwazulu Natal,indian_asian,youth,Morning,40,0.01
892453,Supersport Live Events,2016-03-24T09:09:00.000Z,2016-03-24T11:09:00.000Z,2016-03,1899-12-31T00:00:06.000Z,male,34,Gauteng,indian_asian,youth,Morning,6,0.00
892453,ICC Cricket World Cup 2011,2016-03-26T15:33:00.000Z,2016-03-26T17:33:00.000Z,2016-03,1899-12-31T05:01:12.000Z,male,34,Gauteng,indian_asian,youth,Evening,18072,5.02
828799,Channel O,2016-02-28T08:09:00.000Z,2016-02-28T10:09:00.000Z,2016-02,1899-12-31T00:00:00.000Z,male,38,Mpumalanga,None,adults,Morning,0,0.00
787656,Channel O,2016-02-15T08:40:00.000Z,2016-02-15T10:40:00.000Z,2016-02,1899-12-31T00:11:15.000Z,male,26,Gauteng,black,youth,Morning,675,0.19
939566,Supersport Live Events,2016-01-09T15:40:00.000Z,2016-01-09T17:40:00.000Z,2016-01,1899-12-31T00:22:02.000Z,male,29,Mpumalanga,None,youth,Evening,1322,0.37
771778,Supersport Live Events,2016-02-05T13:47:00.000Z,2016-02-05T15:47:00.000Z,2016-02,1899-12-31T00:04:12.000Z,male,21,Eastern Cape,black,youth,Afternoon,252,0.07
